dataset_seq,per_class_seq,slice_file_name,fsID,start,end,salience,fold,classID,class
61,61,177621-0-0-80.wav,177621,40,44,2,1,0,air_conditioner
62,62,177621-0-0-88.wav,177621,44,48,2,1,0,air_conditioner
63,63,177621-0-0-91.wav,177621,45.5,49.5,2,1,0,air_conditioner
64,64,177621-0-0-93.wav,177621,46.5,50.5,2,1,0,air_conditioner
65,65,50901-0-0-0.wav,50901,1.006702,5.006702,1,1,0,air_conditioner
66,66,50901-0-1-0.wav,50901,9.021096,13.021096,1,1,0,air_conditioner
67,67,50901-0-1-1.wav,50901,9.521096,13.521096,1,1,0,air_conditioner
68,68,57320-0-0-0.wav,57320,0,4,2,1,0,air_conditioner
69,69,57320-0-0-10.wav,57320,5,9,2,1,0,air_conditioner
70,70,57320-0-0-11.wav,57320,5.5,9.5,2,1,0,air_conditioner
71,71,57320-0-0-13.wav,57320,6.5,10.5,2,1,0,air_conditioner
72,72,57320-0-0-15.wav,57320,7.5,11.5,2,1,0,air_conditioner
73,73,57320-0-0-21.wav,57320,10.5,14.5,2,1,0,air_conditioner
74,74,57320-0-0-22.wav,57320,11,15,2,1,0,air_conditioner
75,75,57320-0-0-24.wav,57320,12,16,2,1,0,air_conditioner
76,76,57320-0-0-27.wav,57320,13.5,17.5,2,1,0,air_conditioner
77,77,57320-0-0-31.wav,57320,15.5,19.5,2,1,0,air_conditioner
78,78,57320-0-0-32.wav,57320,16,20,2,1,0,air_conditioner
79,79,57320-0-0-33.wav,57320,16.5,20.5,2,1,0,air_conditioner
80,80,57320-0-0-34.wav,57320,17,21,2,1,0,air_conditioner
81,81,57320-0-0-36.wav,57320,18,22,2,1,0,air_conditioner
82,82,57320-0-0-37.wav,57320,18.5,22.5,2,1,0,air_conditioner
83,83,57320-0-0-38.wav,57320,19,23,2,1,0,air_conditioner
84,84,57320-0-0-39.wav,57320,19.5,23.5,2,1,0,air_conditioner
85,85,57320-0-0-4.wav,57320,2,6,2,1,0,air_conditioner
86,86,57320-0-0-42.wav,57320,21,25,2,1,0,air_conditioner
87,87,57320-0-0-45.wav,57320,22.5,26.5,2,1,0,air_conditioner
88,88,57320-0-0-5.wav,57320,2.5,6.5,2,1,0,air_conditioner
89,89,57320-0-0-6.wav,57320,3,7,2,1,0,air_conditioner
90,90,57320-0-0-7.wav,57320,3.5,7.5,2,1,0,air_conditioner
91,91,57320-0-0-9.wav,57320,4.5,8.5,2,1,0,air_conditioner
92,92,59277-0-0-0.wav,59277,0,4,1,1,0,air_conditioner
93,93,59277-0-0-1.wav,59277,0.5,4.5,1,1,0,air_conditioner
94,94,59277-0-0-2.wav,59277,1,5,1,1,0,air_conditioner
95,95,59277-0-0-3.wav,59277,1.5,5.5,1,1,0,air_conditioner
96,96,59277-0-0-4.wav,59277,2,6,1,1,0,air_conditioner
97,97,59277-0-0-5.wav,59277,2.5,6.5,1,1,0,air_conditioner
98,98,59277-0-0-6.wav,59277,3,7,1,1,0,air_conditioner
99,99,59277-0-0-7.wav,59277,3.5,7.5,1,1,0,air_conditioner
100,100,127872-0-0-0.wav,127872,0,2.498417,1,2,0,air_conditioner
101,101,146690-0-0-100.wav,146690,50,54,1,2,0,air_conditioner
102,102,146690-0-0-112.wav,146690,56,60,1,2,0,air_conditioner
103,103,146690-0-0-115.wav,146690,57.5,61.5,1,2,0,air_conditioner
104,104,146690-0-0-116.wav,146690,58,62,1,2,0,air_conditioner
105,105,146690-0-0-117.wav,146690,58.5,62.5,1,2,0,air_conditioner
106,106,146690-0-0-125.wav,146690,62.5,66.5,1,2,0,air_conditioner
107,107,146690-0-0-137.wav,146690,68.5,72.5,1,2,0,air_conditioner
108,108,146690-0-0-140.wav,146690,70,74,1,2,0,air_conditioner
109,109,146690-0-0-151.wav,146690,75.5,79.5,1,2,0,air_conditioner
110,110,146690-0-0-154.wav,146690,77,81,1,2,0,air_conditioner
111,111,146690-0-0-155.wav,146690,77.5,81.5,1,2,0,air_conditioner
112,112,146690-0-0-165.wav,146690,82.5,86.5,1,2,0,air_conditioner
113,113,146690-0-0-17.wav,146690,8.5,12.5,1,2,0,air_conditioner
114,114,146690-0-0-18.wav,146690,9,13,1,2,0,air_conditioner
115,115,146690-0-0-25.wav,146690,12.5,16.5,1,2,0,air_conditioner
116,116,146690-0-0-35.wav,146690,17.5,21.5,1,2,0,air_conditioner
117,117,146690-0-0-38.wav,146690,19,23,1,2,0,air_conditioner
118,118,146690-0-0-43.wav,146690,21.5,25.5,1,2,0,air_conditioner
119,119,146690-0-0-47.wav,146690,23.5,27.5,1,2,0,air_conditioner
120,120,146690-0-0-64.wav,146690,32,36,1,2,0,air_conditioner
121,121,146690-0-0-8.wav,146690,4,8,1,2,0,air_conditioner
122,122,146690-0-0-80.wav,146690,40,44,1,2,0,air_conditioner
123,123,146690-0-0-86.wav,146690,43,47,1,2,0,air_conditioner
124,124,146690-0-0-87.wav,146690,43.5,47.5,1,2,0,air_conditioner
125,125,146690-0-0-93.wav,146690,46.5,50.5,1,2,0,air_conditioner
126,126,147926-0-0-10.wav,147926,5,9,1,2,0,air_conditioner
127,127,147926-0-0-11.wav,147926,5.5,9.5,1,2,0,air_conditioner
128,128,147926-0-0-12.wav,147926,6,10,1,2,0,air_conditioner
129,129,147926-0-0-16.wav,147926,8,12,1,2,0,air_conditioner
130,130,147926-0-0-17.wav,147926,8.5,12.5,1,2,0,air_conditioner
131,131,147926-0-0-2.wav,147926,1,5,1,2,0,air_conditioner
132,132,147926-0-0-20.wav,147926,10,14,1,2,0,air_conditioner
133,133,147926-0-0-21.wav,147926,10.5,14.5,1,2,0,air_conditioner
134,134,147926-0-0-27.wav,147926,13.5,17.5,1,2,0,air_conditioner
135,135,147926-0-0-28.wav,147926,14,18,1,2,0,air_conditioner
136,136,147926-0-0-34.wav,147926,17,21,1,2,0,air_conditioner
137,137,147926-0-0-35.wav,147926,17.5,21.5,1,2,0,air_conditioner
138,138,147926-0-0-36.wav,147926,18,22,1,2,0,air_conditioner
139,139,147926-0-0-37.wav,147926,18.5,22.5,1,2,0,air_conditioner
140,140,147926-0-0-39.wav,147926,19.5,23.5,1,2,0,air_conditioner
141,141,147926-0-0-4.wav,147926,2,6,1,2,0,air_conditioner
142,142,147926-0-0-41.wav,147926,20.5,24.5,1,2,0,air_conditioner
143,143,147926-0-0-42.wav,147926,21,25,1,2,0,air_conditioner
144,144,147926-0-0-44.wav,147926,22,26,1,2,0,air_conditioner
145,145,147926-0-0-5.wav,147926,2.5,6.5,1,2,0,air_conditioner
146,146,147926-0-0-50.wav,147926,25,29,1,2,0,air_conditioner
147,147,147926-0-0-52.wav,147926,26,30,1,2,0,air_conditioner
148,148,147926-0-0-54.wav,147926,27,31,1,2,0,air_conditioner
149,149,147926-0-0-7.wav,147926,3.5,7.5,1,2,0,air_conditioner
150,150,189023-0-0-0.wav,189023,0,4,1,2,0,air_conditioner
151,151,189023-0-0-1.wav,189023,0.5,4.5,1,2,0,air_conditioner
152,152,189023-0-0-10.wav,189023,5,9,1,2,0,air_conditioner
153,153,189023-0-0-11.wav,189023,5.5,9.5,1,2,0,air_conditioner
154,154,189023-0-0-12.wav,189023,6,10,1,2,0,air_conditioner
155,155,189023-0-0-13.wav,189023,6.5,10.5,1,2,0,air_conditioner
156,156,189023-0-0-2.wav,189023,1,5,1,2,0,air_conditioner
157,157,189023-0-0-3.wav,189023,1.5,5.5,1,2,0,air_conditioner
158,158,189023-0-0-4.wav,189023,2,6,1,2,0,air_conditioner
159,159,189023-0-0-5.wav,189023,2.5,6.5,1,2,0,air_conditioner
160,160,189023-0-0-6.wav,189023,3,7,1,2,0,air_conditioner
161,161,189023-0-0-7.wav,189023,3.5,7.5,1,2,0,air_conditioner
162,162,189023-0-0-8.wav,189023,4,8,1,2,0,air_conditioner
163,163,189023-0-0-9.wav,189023,4.5,8.5,1,2,0,air_conditioner
164,164,189991-0-0-0.wav,189991,0,4,1,2,0,air_conditioner
165,165,189991-0-0-1.wav,189991,0.5,4.5,1,2,0,air_conditioner
166,166,189991-0-0-2.wav,189991,1,5,1,2,0,air_conditioner
167,167,189991-0-0-3.wav,189991,1.5,5.5,1,2,0,air_conditioner
168,168,189991-0-0-4.wav,189991,2,6,1,2,0,air_conditioner
169,169,189991-0-0-5.wav,189991,2.5,6.5,1,2,0,air_conditioner
170,170,189991-0-0-6.wav,189991,3,7,1,2,0,air_conditioner
171,171,189991-0-0-7.wav,189991,3.5,7.5,1,2,0,air_conditioner
172,172,56385-0-0-0.wav,56385,0,4,2,2,0,air_conditioner
173,173,56385-0-0-1.wav,56385,0.5,4.5,2,2,0,air_conditioner
174,174,56385-0-0-2.wav,56385,1,5,2,2,0,air_conditioner
175,175,74507-0-0-0.wav,74507,0,4,1,2,0,air_conditioner
176,176,74507-0-0-1.wav,74507,0.5,4.5,1,2,0,air_conditioner
177,177,74507-0-0-10.wav,74507,5,9,1,2,0,air_conditioner
178,178,74507-0-0-11.wav,74507,5.5,9.5,1,2,0,air_conditioner
179,179,74507-0-0-12.wav,74507,6,10,1,2,0,air_conditioner
180,180,74507-0-0-13.wav,74507,6.5,10.5,1,2,0,air_conditioner
181,181,74507-0-0-14.wav,74507,7,11,1,2,0,air_conditioner
182,182,74507-0-0-15.wav,74507,7.5,11.5,1,2,0,air_conditioner
183,183,74507-0-0-16.wav,74507,8,12,1,2,0,air_conditioner
184,184,74507-0-0-17.wav,74507,8.5,12.5,1,2,0,air_conditioner
185,185,74507-0-0-18.wav,74507,9,13,1,2,0,air_conditioner
186,186,74507-0-0-2.wav,74507,1,5,1,2,0,air_conditioner
187,187,74507-0-0-20.wav,74507,10,14,1,2,0,air_conditioner
188,188,74507-0-0-22.wav,74507,11,15,1,2,0,air_conditioner
189,189,74507-0-0-23.wav,74507,11.5,15.5,1,2,0,air_conditioner
190,190,74507-0-0-24.wav,74507,12,16,1,2,0,air_conditioner
191,191,74507-0-0-25.wav,74507,12.5,16.5,1,2,0,air_conditioner
192,192,74507-0-0-27.wav,74507,13.5,17.5,1,2,0,air_conditioner
193,193,74507-0-0-28.wav,74507,14,18,1,2,0,air_conditioner
194,194,74507-0-0-3.wav,74507,1.5,5.5,1,2,0,air_conditioner
195,195,74507-0-0-4.wav,74507,2,6,1,2,0,air_conditioner
196,196,74507-0-0-5.wav,74507,2.5,6.5,1,2,0,air_conditioner
197,197,74507-0-0-6.wav,74507,3,7,1,2,0,air_conditioner
198,198,74507-0-0-8.wav,74507,4,8,1,2,0,air_conditioner
199,199,74507-0-0-9.wav,74507,4.5,8.5,1,2,0,air_conditioner
200,200,13230-0-0-1.wav,13230,0.5,4.5,1,3,0,air_conditioner
201,201,13230-0-0-10.wav,13230,5,9,1,3,0,air_conditioner
202,202,13230-0-0-11.wav,13230,5.5,9.5,1,3,0,air_conditioner
203,203,13230-0-0-12.wav,13230,6,10,1,3,0,air_conditioner
204,204,13230-0-0-13.wav,13230,6.5,10.5,1,3,0,air_conditioner
205,205,13230-0-0-14.wav,13230,7,11,1,3,0,air_conditioner
206,206,13230-0-0-16.wav,13230,8,12,1,3,0,air_conditioner
207,207,13230-0-0-17.wav,13230,8.5,12.5,1,3,0,air_conditioner
208,208,13230-0-0-18.wav,13230,9,13,1,3,0,air_conditioner
209,209,13230-0-0-19.wav,13230,9.5,13.5,1,3,0,air_conditioner
210,210,13230-0-0-20.wav,13230,10,14,1,3,0,air_conditioner
211,211,13230-0-0-22.wav,13230,11,15,1,3,0,air_conditioner
212,212,13230-0-0-23.wav,13230,11.5,15.5,1,3,0,air_conditioner
213,213,13230-0-0-24.wav,13230,12,16,1,3,0,air_conditioner
214,214,13230-0-0-25.wav,13230,12.5,16.5,1,3,0,air_conditioner
215,215,13230-0-0-26.wav,13230,13,17,1,3,0,air_conditioner
216,216,13230-0-0-27.wav,13230,13.5,17.5,1,3,0,air_conditioner
217,217,13230-0-0-28.wav,13230,14,18,1,3,0,air_conditioner
218,218,13230-0-0-3.wav,13230,1.5,5.5,1,3,0,air_conditioner
219,219,13230-0-0-5.wav,13230,2.5,6.5,1,3,0,air_conditioner
220,220,13230-0-0-6.wav,13230,3,7,1,3,0,air_conditioner
221,221,13230-0-0-7.wav,13230,3.5,7.5,1,3,0,air_conditioner
222,222,13230-0-0-8.wav,13230,4,8,1,3,0,air_conditioner
223,223,13230-0-0-9.wav,13230,4.5,8.5,1,3,0,air_conditioner
224,224,146714-0-0-0.wav,146714,0,4,2,3,0,air_conditioner
225,225,146714-0-0-12.wav,146714,6,10,2,3,0,air_conditioner
226,226,146714-0-0-13.wav,146714,6.5,10.5,2,3,0,air_conditioner
227,227,146714-0-0-17.wav,146714,8.5,12.5,2,3,0,air_conditioner
228,228,146714-0-0-18.wav,146714,9,13,2,3,0,air_conditioner
229,229,146714-0-0-2.wav,146714,1,5,2,3,0,air_conditioner
230,230,146714-0-0-21.wav,146714,10.5,14.5,2,3,0,air_conditioner
231,231,146714-0-0-22.wav,146714,11,15,2,3,0,air_conditioner
232,232,146714-0-0-27.wav,146714,13.5,17.5,2,3,0,air_conditioner
233,233,146714-0-0-33.wav,146714,16.5,20.5,2,3,0,air_conditioner
234,234,146714-0-0-35.wav,146714,17.5,21.5,2,3,0,air_conditioner
235,235,146714-0-0-36.wav,146714,18,22,2,3,0,air_conditioner
236,236,146714-0-0-38.wav,146714,19,23,2,3,0,air_conditioner
237,237,146714-0-0-41.wav,146714,20.5,24.5,2,3,0,air_conditioner
238,238,146714-0-0-43.wav,146714,21.5,25.5,2,3,0,air_conditioner
239,239,146714-0-0-45.wav,146714,22.5,26.5,2,3,0,air_conditioner
240,240,146714-0-0-47.wav,146714,23.5,27.5,2,3,0,air_conditioner
241,241,146714-0-0-49.wav,146714,24.5,28.5,2,3,0,air_conditioner
242,242,146714-0-0-50.wav,146714,25,29,2,3,0,air_conditioner
243,243,146714-0-0-53.wav,146714,26.5,30.5,2,3,0,air_conditioner
244,244,146714-0-0-55.wav,146714,27.5,31.5,2,3,0,air_conditioner
245,245,146714-0-0-56.wav,146714,28,32,2,3,0,air_conditioner
246,246,146714-0-0-58.wav,146714,29,33,2,3,0,air_conditioner
247,247,146714-0-0-6.wav,146714,3,7,2,3,0,air_conditioner
248,248,153261-0-0-0.wav,153261,0,4,1,3,0,air_conditioner
249,249,153261-0-0-1.wav,153261,0.5,4.5,1,3,0,air_conditioner
250,250,153261-0-0-2.wav,153261,1,5,1,3,0,air_conditioner
251,251,153261-0-0-3.wav,153261,1.5,5.5,1,3,0,air_conditioner
252,252,159761-0-0-0.wav,159761,0,4,2,3,0,air_conditioner
253,253,159761-0-0-1.wav,159761,0.5,4.5,2,3,0,air_conditioner
254,254,159761-0-0-2.wav,159761,1,5,2,3,0,air_conditioner
255,255,159761-0-0-3.wav,159761,1.5,5.5,2,3,0,air_conditioner
256,256,159761-0-0-4.wav,159761,2,6,2,3,0,air_conditioner
257,257,159761-0-0-5.wav,159761,2.5,6.5,2,3,0,air_conditioner
258,258,159761-0-0-6.wav,159761,3,7,2,3,0,air_conditioner
259,259,159761-0-0-7.wav,159761,3.5,7.5,2,3,0,air_conditioner
260,260,159761-0-0-8.wav,159761,4,8,2,3,0,air_conditioner
261,261,177742-0-0-10.wav,177742,5,9,2,3,0,air_conditioner
262,262,177742-0-0-102.wav,177742,51,55,2,3,0,air_conditioner
263,263,177742-0-0-111.wav,177742,55.5,59.5,2,3,0,air_conditioner
264,264,177742-0-0-149.wav,177742,74.5,78.5,2,3,0,air_conditioner
265,265,177742-0-0-161.wav,177742,80.5,84.5,2,3,0,air_conditioner
266,266,177742-0-0-164.wav,177742,82,86,2,3,0,air_conditioner
267,267,177742-0-0-165.wav,177742,82.5,86.5,2,3,0,air_conditioner
268,268,177742-0-0-17.wav,177742,8.5,12.5,2,3,0,air_conditioner
269,269,177742-0-0-178.wav,177742,89,93,2,3,0,air_conditioner
270,270,177742-0-0-196.wav,177742,98,102,2,3,0,air_conditioner
271,271,177742-0-0-202.wav,177742,101,105,2,3,0,air_conditioner
272,272,177742-0-0-203.wav,177742,101.5,105.5,2,3,0,air_conditioner
273,273,177742-0-0-204.wav,177742,102,106,2,3,0,air_conditioner
274,274,177742-0-0-205.wav,177742,102.5,106.5,2,3,0,air_conditioner
275,275,177742-0-0-211.wav,177742,105.5,109.5,2,3,0,air_conditioner
276,276,177742-0-0-214.wav,177742,107,111,2,3,0,air_conditioner
277,277,177742-0-0-3.wav,177742,1.5,5.5,2,3,0,air_conditioner
278,278,177742-0-0-36.wav,177742,18,22,2,3,0,air_conditioner
279,279,177742-0-0-49.wav,177742,24.5,28.5,2,3,0,air_conditioner
280,280,177742-0-0-58.wav,177742,29,33,2,3,0,air_conditioner
281,281,177742-0-0-67.wav,177742,33.5,37.5,2,3,0,air_conditioner
282,282,177742-0-0-73.wav,177742,36.5,40.5,2,3,0,air_conditioner
283,283,177742-0-0-84.wav,177742,42,46,2,3,0,air_conditioner
284,284,177742-0-0-99.wav,177742,49.5,53.5,2,3,0,air_conditioner
285,285,30204-0-0-0.wav,30204,0.286916,4.286916,1,3,0,air_conditioner
286,286,30204-0-0-1.wav,30204,0.786916,4.786916,1,3,0,air_conditioner
287,287,30204-0-0-10.wav,30204,5.286916,9.286916,1,3,0,air_conditioner
288,288,30204-0-0-11.wav,30204,5.786916,9.786916,1,3,0,air_conditioner
289,289,30204-0-0-12.wav,30204,6.286916,10.286916,1,3,0,air_conditioner
290,290,30204-0-0-13.wav,30204,6.786916,10.786916,1,3,0,air_conditioner
291,291,30204-0-0-2.wav,30204,1.286916,5.286916,1,3,0,air_conditioner
292,292,30204-0-0-3.wav,30204,1.786916,5.786916,1,3,0,air_conditioner
293,293,30204-0-0-4.wav,30204,2.286916,6.286916,1,3,0,air_conditioner
294,294,30204-0-0-5.wav,30204,2.786916,6.786916,1,3,0,air_conditioner
295,295,30204-0-0-6.wav,30204,3.286916,7.286916,1,3,0,air_conditioner
296,296,30204-0-0-7.wav,30204,3.786916,7.786916,1,3,0,air_conditioner
297,297,30204-0-0-8.wav,30204,4.286916,8.286916,1,3,0,air_conditioner
298,298,30204-0-0-9.wav,30204,4.786916,8.786916,1,3,0,air_conditioner
299,299,58806-0-0-0.wav,58806,0,4,1,3,0,air_conditioner
300,300,146709-0-0-1.wav,146709,0.5,4.5,1,4,0,air_conditioner
301,301,146709-0-0-11.wav,146709,5.5,9.5,1,4,0,air_conditioner
302,302,146709-0-0-12.wav,146709,6,10,1,4,0,air_conditioner
303,303,146709-0-0-17.wav,146709,8.5,12.5,1,4,0,air_conditioner
304,304,146709-0-0-18.wav,146709,9,13,1,4,0,air_conditioner
305,305,146709-0-0-19.wav,146709,9.5,13.5,1,4,0,air_conditioner
306,306,146709-0-0-20.wav,146709,10,14,1,4,0,air_conditioner
307,307,146709-0-0-22.wav,146709,11,15,1,4,0,air_conditioner
308,308,146709-0-0-25.wav,146709,12.5,16.5,1,4,0,air_conditioner
309,309,146709-0-0-26.wav,146709,13,17,1,4,0,air_conditioner
310,310,146709-0-0-3.wav,146709,1.5,5.5,1,4,0,air_conditioner
311,311,146709-0-0-30.wav,146709,15,19,1,4,0,air_conditioner
312,312,146709-0-0-33.wav,146709,16.5,20.5,1,4,0,air_conditioner
313,313,146709-0-0-34.wav,146709,17,21,1,4,0,air_conditioner
314,314,146709-0-0-37.wav,146709,18.5,22.5,1,4,0,air_conditioner
315,315,146709-0-0-44.wav,146709,22,26,1,4,0,air_conditioner
316,316,146709-0-0-48.wav,146709,24,28,1,4,0,air_conditioner
317,317,146709-0-0-53.wav,146709,26.5,30.5,1,4,0,air_conditioner
318,318,146709-0-0-59.wav,146709,29.5,33.5,1,4,0,air_conditioner
319,319,146709-0-0-63.wav,146709,31.5,35.5,1,4,0,air_conditioner
320,320,146709-0-0-65.wav,146709,32.5,36.5,1,4,0,air_conditioner
321,321,146709-0-0-66.wav,146709,33,37,1,4,0,air_conditioner
322,322,146709-0-0-68.wav,146709,34,38,1,4,0,air_conditioner
323,323,146709-0-0-7.wav,146709,3.5,7.5,1,4,0,air_conditioner
324,324,166942-0-0-0.wav,166942,0,4,1,4,0,air_conditioner
325,325,166942-0-0-1.wav,166942,0.5,4.5,1,4,0,air_conditioner
326,326,166942-0-0-10.wav,166942,5,9,1,4,0,air_conditioner
327,327,166942-0-0-11.wav,166942,5.5,9.5,1,4,0,air_conditioner
328,328,166942-0-0-12.wav,166942,6,10,1,4,0,air_conditioner
329,329,166942-0-0-13.wav,166942,6.5,10.5,1,4,0,air_conditioner
330,330,166942-0-0-14.wav,166942,7,11,1,4,0,air_conditioner
331,331,166942-0-0-15.wav,166942,7.5,11.5,1,4,0,air_conditioner
332,332,166942-0-0-2.wav,166942,1,5,1,4,0,air_conditioner
333,333,166942-0-0-3.wav,166942,1.5,5.5,1,4,0,air_conditioner
334,334,166942-0-0-4.wav,166942,2,6,1,4,0,air_conditioner
335,335,166942-0-0-5.wav,166942,2.5,6.5,1,4,0,air_conditioner
336,336,166942-0-0-6.wav,166942,3,7,1,4,0,air_conditioner
337,337,166942-0-0-7.wav,166942,3.5,7.5,1,4,0,air_conditioner
338,338,166942-0-0-8.wav,166942,4,8,1,4,0,air_conditioner
339,339,166942-0-0-9.wav,166942,4.5,8.5,1,4,0,air_conditioner
340,340,185709-0-0-0.wav,185709,0,4,1,4,0,air_conditioner
341,341,185709-0-0-1.wav,185709,0.5,4.5,1,4,0,air_conditioner
342,342,185709-0-0-2.wav,185709,1,5,1,4,0,air_conditioner
343,343,185709-0-0-3.wav,185709,1.5,5.5,1,4,0,air_conditioner
344,344,185709-0-0-4.wav,185709,2,6,1,4,0,air_conditioner
345,345,185709-0-0-5.wav,185709,2.5,6.5,1,4,0,air_conditioner
346,346,185709-0-0-6.wav,185709,3,7,1,4,0,air_conditioner
347,347,185709-0-0-7.wav,185709,3.5,7.5,1,4,0,air_conditioner
348,348,185709-0-0-8.wav,185709,4,8,1,4,0,air_conditioner
349,349,195969-0-0-1.wav,195969,283.98561,287.98561,2,4,0,air_conditioner
350,350,195969-0-0-10.wav,195969,288.48561,292.48561,2,4,0,air_conditioner
351,351,195969-0-0-12.wav,195969,289.48561,293.48561,2,4,0,air_conditioner
352,352,195969-0-0-13.wav,195969,289.98561,293.98561,2,4,0,air_conditioner
353,353,195969-0-0-14.wav,195969,290.48561,294.48561,2,4,0,air_conditioner
354,354,195969-0-0-15.wav,195969,290.98561,294.98561,2,4,0,air_conditioner
355,355,195969-0-0-17.wav,195969,291.98561,295.98561,2,4,0,air_conditioner
356,356,195969-0-0-18.wav,195969,292.48561,296.48561,2,4,0,air_conditioner
357,357,195969-0-0-19.wav,195969,292.98561,296.98561,2,4,0,air_conditioner
358,358,195969-0-0-2.wav,195969,284.48561,288.48561,2,4,0,air_conditioner
359,359,195969-0-0-20.wav,195969,293.48561,297.48561,2,4,0,air_conditioner
360,360,195969-0-0-21.wav,195969,293.98561,297.98561,2,4,0,air_conditioner
